chemin, class, methode, methode_LOC, methode_CLOC, methode_DC, CC, methode_BC
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, TextAnnotation_String, 14, 5, 0.35714285714285715, 1, 0.35714285714285715
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, getText, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, setText_String, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, getFont, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, setFont_Font, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, getPaint, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, setPaint_Paint, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, getTextAnchor, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, setTextAnchor_TextAnchor, 13, 9, 0.6923076923076923, 1, 0.6923076923076923
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, getRotationAnchor, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, setRotationAnchor_TextAnchor, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, getRotationAngle, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, setRotationAngle_double, 11, 8, 0.7272727272727273, 1, 0.7272727272727273
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, equals_Object, 29, 2, 0.06896551724137931, 9, 0.007662835249042145
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, hashCode, 10, 0, 0.0, 1, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, writeObject_ObjectOutputStream, 10, 7, 0.7, 1, 0.7
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, Axis_String, 30, 5, 0.16666666666666666, 1, 0.16666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, isVisible, 10, 8, 0.8, 1, 0.8
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setVisible_boolean, 13, 8, 0.6153846153846154, 2, 0.3076923076923077
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getLabel, 11, 9, 0.8181818181818182, 1, 0.8181818181818182
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setLabel_String, 13, 10, 0.7692307692307693, 1, 0.7692307692307693
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getAttributedLabel, 15, 9, 0.6, 2, 0.3
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setAttributedLabel_String, 12, 10, 0.8333333333333334, 1, 0.8333333333333334
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setAttributedLabel_AttributedString, 15, 8, 0.5333333333333333, 2, 0.26666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, createAttributedLabel_String, 17, 10, 0.5882352941176471, 2, 0.29411764705882354
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getLabelFont, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setLabelFont_Font, 14, 8, 0.5714285714285714, 2, 0.2857142857142857
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getLabelPaint, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setLabelPaint_Paint, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getLabelInsets, 10, 8, 0.8, 1, 0.8
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setLabelInsets_RectangleInsets, 10, 8, 0.8, 1, 0.8
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setLabelInsets_RectangleInsets_boolean, 17, 9, 0.5294117647058824, 3, 0.17647058823529413
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getLabelAngle, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setLabelAngle_double, 11, 8, 0.7272727272727273, 1, 0.7272727272727273
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getLabelLocation, 10, 8, 0.8, 1, 0.8
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setLabelLocation_AxisLabelLocation, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, isAxisLineVisible, 11, 9, 0.8181818181818182, 1, 0.8181818181818182
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setAxisLineVisible_boolean, 13, 10, 0.7692307692307693, 1, 0.7692307692307693
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getAxisLinePaint, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setAxisLinePaint_Paint, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getAxisLineStroke, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setAxisLineStroke_Stroke, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, isTickLabelsVisible, 11, 9, 0.8181818181818182, 1, 0.8181818181818182
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickLabelsVisible_boolean, 16, 11, 0.6875, 2, 0.34375
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, isMinorTickMarksVisible, 13, 11, 0.8461538461538461, 1, 0.8461538461538461
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setMinorTickMarksVisible_boolean, 16, 11, 0.6875, 2, 0.34375
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getTickLabelFont, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickLabelFont_Font, 14, 8, 0.5714285714285714, 2, 0.2857142857142857
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getTickLabelPaint, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickLabelPaint_Paint, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getTickLabelInsets, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickLabelInsets_RectangleInsets, 14, 8, 0.5714285714285714, 2, 0.2857142857142857
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, isTickMarksVisible, 11, 9, 0.8181818181818182, 1, 0.8181818181818182
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickMarksVisible_boolean, 13, 8, 0.6153846153846154, 2, 0.3076923076923077
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getTickMarkInsideLength, 10, 8, 0.8, 1, 0.8
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickMarkInsideLength_float, 11, 8, 0.7272727272727273, 1, 0.7272727272727273
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getTickMarkOutsideLength, 10, 8, 0.8, 1, 0.8
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickMarkOutsideLength_float, 11, 8, 0.7272727272727273, 1, 0.7272727272727273
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getTickMarkStroke, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickMarkStroke_Stroke, 14, 8, 0.5714285714285714, 2, 0.2857142857142857
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getTickMarkPaint, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setTickMarkPaint_Paint, 12, 8, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getMinorTickMarkInsideLength, 12, 10, 0.8333333333333334, 1, 0.8333333333333334
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setMinorTickMarkInsideLength_float, 13, 10, 0.7692307692307693, 1, 0.7692307692307693
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getMinorTickMarkOutsideLength, 12, 10, 0.8333333333333334, 1, 0.8333333333333334
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setMinorTickMarkOutsideLength_float, 13, 10, 0.7692307692307693, 1, 0.7692307692307693
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getPlot, 10, 8, 0.8, 1, 0.8
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setPlot_Plot, 12, 9, 0.75, 1, 0.75
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getFixedDimension, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, setFixedDimension_double, 15, 13, 0.8666666666666667, 1, 0.8666666666666667
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, addChangeListener_AxisChangeListener, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, removeChangeListener_AxisChangeListener, 9, 7, 0.7777777777777778, 1, 0.7777777777777778
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, hasListener_EventListener, 12, 9, 0.75, 1, 0.75
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, notifyListeners_AxisChangeEvent, 13, 6, 0.46153846153846156, 3, 0.15384615384615385
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, fireChangeEvent, 7, 5, 0.7142857142857143, 1, 0.7142857142857143
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, getLabelEnclosure_Graphics2D_RectangleEdge, 39, 9, 0.23076923076923078, 5, 0.046153846153846156
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, labelAnchorH_AxisLabelLocation, 19, 8, 0.42105263157894735, 4, 0.10526315789473684
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, labelAnchorV_AxisLabelLocation, 19, 8, 0.42105263157894735, 4, 0.10526315789473684
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, clone, 6, 1, 0.16666666666666666, 1, 0.16666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, Axis, equals_Object, 83, 0, 0.0, 27, 0.0
